x,y,z,range,velocity,angle,power_abs
0.21629017,0.02725,0,0.218,0.7,7.180755781,0.015762329
0.313800492,0.09196875,0,0.327,0.7,16.33482278,0.008880615
0.21629017,0.02725,0,0.218,1.05,7.180755781,0.012649536
0.218,0,0,0.218,0,0,0.005508423
0.21629017,0.02725,0,0.218,0,7.180755781,0.009689331
0.215322424,0.0340625,0,0.218,0.35,8.989299345,0.013824463
0.215322424,0.0340625,0,0.218,0.7,8.989299345,0.01574707
0.215322424,0.0340625,0,0.218,1.05,8.989299345,0.014190674
0.21629017,0.02725,0,0.218,65.8,7.180755781,0.010025024
0.218,0,0,0.218,0.35,0,0.010559082
1.33E-17,0.218,0,0.218,0,90,0.008682251
1.33E-17,0.218,0,0.218,0.35,90,0.011901855
1.33E-17,0.218,0,0.218,0.7,90,0.014892578
0.215322424,0.0340625,0,0.218,1.05,8.989299345,0.015319824
0.215322424,0.0340625,0,0.218,65.8,8.989299345,0.012619019
0.321200525,0.0613125,0,0.327,65.8,10.80692287,0.006774902
0.21629017,0.02725,0,0.218,66.15,7.180755781,0.008148193
1.33E-17,0.218,0,0.218,1.4,90,0.006912231
1.33E-17,0.218,0,0.218,0.7,90,0.012756348
1.33E-17,0.218,0,0.218,1.05,90,0.014892578
1.33E-17,0.218,0,0.218,65.8,90,0.013519287
0.322983635,0.05109375,0,0.327,65.8,8.989299345,0.007003784
1.33E-17,0.218,0,0.218,66.15,90,0.009552002
1.33E-17,0.218,0,0.218,0.7,90,0.010604858
1.33E-17,0.218,0,0.218,0,90,0.007644653
1.33E-17,0.218,0,0.218,0.35,90,0.00994873
2.00E-17,0.327,0,0.327,0.35,90,0.006561279
0.218,0,0,0.218,0,0,0.008224487
0.327,0,0,0.327,0,0,0.007400513
0.21629017,0.02725,0,0.218,66.5,7.180755781,0.009887695
0.212720244,0.0476875,0,0.218,66.85,12.63562509,0.00994873
0.218,0,0,0.218,0,0,0.009521484
0.327,0,0,0.327,0,0,0.007598877
1.33E-17,0.218,0,0.218,66.5,90,0.009994507
0.21629017,0.02725,0,0.218,66.85,7.180755781,0.011993408
0.184692893,0.1158125,0,0.218,0,32.08995126,0.0103302
0.218,0,0,0.218,0,0,0.009231567
1.33E-17,0.218,0,0.218,66.5,90,0.009658813
1.33E-17,0.218,0,0.218,66.85,90,0.013427734
2.00E-17,0.327,0,0.327,66.85,90,0.009384155
1.33E-17,0.218,0,0.218,0,90,0.014053345
2.00E-17,0.327,0,0.327,0,90,0.011184692
1.33E-17,0.218,0,0.218,0.35,90,0.012527466
2.00E-17,0.327,0,0.327,0.35,90,0.011154175
1.33E-17,0.218,0,0.218,0.7,90,0.009567261
2.00E-17,0.327,0,0.327,0.7,90,0.009811401
1.33E-17,0.218,0,0.218,1.05,90,0.007995605
2.00E-17,0.327,0,0.327,1.05,90,0.007583618
0.218,0,0,0.218,0,0,0.007614136
1.33E-17,0.218,0,0.218,66.85,90,0.013977051
2.00E-17,0.327,0,0.327,66.85,90,0.009994507
1.33E-17,0.218,0,0.218,0,90,0.016021729
2.00E-17,0.327,0,0.327,0,90,0.012374878
1.33E-17,0.218,0,0.218,0.35,90,0.014694214
2.00E-17,0.327,0,0.327,0.35,90,0.012130737
1.33E-17,0.218,0,0.218,0.7,90,0.011016846
2.00E-17,0.327,0,0.327,0.7,90,0.00944519
1.33E-17,0.218,0,0.218,1.05,90,0.006729126
2.00E-17,0.327,0,0.327,1.05,90,0.006332397
0.218,0,0,0.218,0,0,0.005767822
1.33E-17,0.218,0,0.218,66.85,90,0.012435913
1.33E-17,0.218,0,0.218,0,90,0.01574707
2.00E-17,0.327,0,0.327,0,90,0.011154175
1.33E-17,0.218,0,0.218,0.35,90,0.014953613
2.00E-17,0.327,0,0.327,0.35,90,0.009872437
1.33E-17,0.218,0,0.218,0.7,90,0.010147095
2.00E-17,0.327,0,0.327,0.7,90,0.006790161
0.218,0,0,0.218,0,0,0.006744385
1.33E-17,0.218,0,0.218,66.85,90,0.010391235
2.00E-17,0.327,0,0.327,66.85,90,0.008499146
1.33E-17,0.218,0,0.218,0,90,0.014144897
2.00E-17,0.327,0,0.327,0,90,0.009735107
1.33E-17,0.218,0,0.218,0.35,90,0.013763428
2.00E-17,0.327,0,0.327,0.35,90,0.007980347
1.33E-17,0.218,0,0.218,0.7,90,0.009460449
0.218,0,0,0.218,0,0,0.006149292
1.33E-17,0.218,0,0.218,66.85,90,0.009597778
2.00E-17,0.327,0,0.327,66.85,90,0.007217407
1.33E-17,0.218,0,0.218,0,90,0.012161255
2.00E-17,0.327,0,0.327,0,90,0.007843018
1.33E-17,0.218,0,0.218,0.35,90,0.011550903
1.33E-17,0.218,0,0.218,0.7,90,0.008483887
0.218,0,0,0.218,0.35,0,0.006118774
1.33E-17,0.218,0,0.218,66.85,90,0.008422852
1.33E-17,0.218,0,0.218,0,90,0.009262085
2.00E-17,0.327,0,0.327,0,90,0.005828857
